item,itemLabel,startDate,endDate,psid
Q110915055,Senen C. Bacani,1990,1992-06-30,Q110915055-AE8E4499-3F15-4E08-A79C-333412F8A722
Q110915059,"Luis P. Lorenzo, Jr",2002-12-09,2004-08-15,Q110915059-E03BBBF4-CDDC-45A0-B25C-5553251CCAF5
Q110915061,Bernie Fondevilla,2010-03-08,2010-06-30,Q110915061-06A4C2B8-5013-4498-B0EB-9DF4ECAC910C
Q1237494,Domingo Panganiban,2005-07-16,2006-10-25,Q1237494-1b4fd8f4-459b-cd3b-4a44-955a6b74779d
Q1237494,Domingo Panganiban,2001-01-08,2001-02-11,Q1237494-84a98c56-4ddb-af73-54e0-313cb72ec4f3
Q1284303,Edgardo Angara,1999-05-25,2001-01-06,Q1284303-AD681F79-25E0-4744-A582-6FBC351F9311
Q12967208,Leonardo Montemayor,2001-02-12,2002-12-08,Q12967208-DBFCF101-3530-4BF7-A16D-413440CD4B6C
Q1665903,Proceso Alcala,2010-06-30,2016-06-30,Q1665903-B980AE46-6E6F-4878-AB6A-F6942A89573E
Q24852423,Manny Piñol,2016-06-30,2019-08-05,Q24852423-B08B9B6F-DA18-451C-BAEB-4BD39BED21C3
Q25350470,Carlos Dominguez III,1987-03-09,1989-12-31,Q25350470-16B858CD-8E89-4C8B-B5F4-E2C247E961BF
Q2718322,Salvador Escudero,1996-02-01,1998-06-30,Q2718322-F61C5F5E-9754-4B71-A9CC-01B0C264555A
Q712100,Arthur Yap,2006-10-25,2010-02-24,Q712100-257EB9D0-A312-479F-9D9A-60E2B3A9FBBE
Q712100,Arthur Yap,2004-08-23,2005-06-30,Q712100-A38A8A92-0BEC-4863-8446-F4FB3AAEC950
Q715556,Arturo Tanco,1971,1984-06,Q715556-ec1a0da2-40e1-23ce-8c32-a1b2b452a48a
Q7351900,Roberto Sebastian,1992-06-30,1996-01-31,Q7351900-891CE83F-0A38-4BA6-BA8C-62F6E8754FA1
Q8007583,William Dar,1998-06-30,1999-05-24,Q8007583-b8dc053c-4836-8bd6-2222-5caa48128114
Q8007583,William Dar,2019-08-05,,Q8007583-d3f7fd68-4ee0-872f-ff45-1f1a5dd661a7
