item,itemLabel,startDate,endDate,sourceDate,psid
Q970501,"Panfilo ""Ping"" Lacson",1999-11-16,2001-02-16,2022-05-28,Q970501-B069022E-CE0A-4AFF-A8BD-015A993F9933
Q1810676,Leandro Mendoza,2001-03-16,2002-03-17,,Q1810676-35C30EF4-DCA7-45C9-ACAA-4E83087733AF
Q983319,Hermogenes E. Ebdane Jr.,2002-07,2004-08-23,2022-05-28,Q983319-26BF52B5-A6CC-41B8-ACC9-D86E3100691B
Q41187542,Edgar Aglipay,2004-08-23,2005-03-14,,Q41187542-EC24A79C-0A5E-4C60-B289-BA54196FDD37
Q59655847,Arturo Lomibao,2005-03-14,2006-07-05,,Q59655847-00BFB3D3-A371-4D70-992F-4941ED5A6729
Q112079900,Avelino I. Razon Jr.,2007-10-01,2008-09-27,2022-05-28,Q112079900-14136B48-5EA8-49E0-BDC4-E3ABCA830750
Q16193307,Alan LM Purisima,2012-12-17,2015-02-05,2022-05-28,Q16193307-BA93C26E-03B0-4EBB-95A8-EFFD7C3ACB47
Q112056327,Leonardo A. Espina,2015-02-05,2015-07-16,2022-05-18,Q112056327-EC6B8DB3-2692-427F-A0F3-E9DC3A80EBF3
Q111976585,Ricardo C. Marquez,2015-07-16,2016-06-30,2022-05-12,Q111976585-45588FE9-B7AD-4A6D-A2B9-96C611F85435
Q25245707,"Ronald ""Bato"" Dela Rosa",2016-07-01,2018-04-19,2022-05-28,Q25245707-633967B2-B6F3-4BDB-9A68-E20AF636DB9D
Q55584121,Oscar David Albayalde,2018-04-19,2019-10-14,2022-05-28,Q55584121-8325884C-A1EE-45B6-9E45-0C9FF47CDA8D
Q83129525,Archie Gamboa,2019-10-14,2020-01-20,,Q83129525-A9B55CEE-FF91-4BD1-AA1D-48EC9CEEC280
Q83129525,Archie Gamboa,2020-01-20,2020-09-02,,Q83129525-F4A6D0EE-CEB8-4555-B799-10BB92FC7B3E
Q99156322,Camilo Cascolan,2020-09-02,2020-11-10,,Q99156322-8BA0AB5C-5DC2-4936-8AAB-0865727BA978
Q95599781,Debold M. Sinas,2020-11-10,2021-05-08,2022-05-28,Q95599781-166165DD-0F49-4D74-89BB-096DB2612C42
Q98397276,Guillermo Eleazar,2021-05-08,2021-11-13,,Q98397276-7607EBEF-06F4-45A0-B03B-DC2362BB6B5C
Q109528333,Dionardo B. Carlos,2021-11-13,2022-05-08,2022-05-28,Q109528333-395F1823-D665-4008-AD56-7557A5C1C247
Q101569311,Vicente Danao,2022-05-08,,2022-05-12,Q101569311-62B4E95C-CE79-4A48-B6F7-F223158D0B2B
